"Chronic Absenteeism, 2017-18"
"All Districts, Gender"

"District","District Code","Gender","% Chronically Absent"
"Achievement First Hartford Academy Inc. District","=""2880013""","Female",5.6
"Achievement First Hartford Academy Inc. District","=""2880013""","Male",7.5
"Amistad Academy District","=""2790013""","Female",7.0
"Amistad Academy District","=""2790013""","Male",7.9
"Andover School District","=""0010011""","Female","*"
"Andover School District","=""0010011""","Male","*"
"Ansonia School District","=""0020011""","Female",19.2
"Ansonia School District","=""0020011""","Male",18.4
"Area Cooperative Educational Services","=""2440014""","Female",19.7
"Area Cooperative Educational Services","=""2440014""","Male",25.0
"Ashford School District","=""0030011""","Female",9.6
"Ashford School District","=""0030011""","Male",4.4
"Avon School District","=""0040011""","Female",3.4
"Avon School District","=""0040011""","Male",3.8
"Barkhamsted School District","=""0050011""","Female","*"
"Barkhamsted School District","=""0050011""","Male","*"
"Berlin School District","=""0070011""","Female",3.6
"Berlin School District","=""0070011""","Male",3.7
"Bethany School District","=""0080011""","Female",6.0
"Bethany School District","=""0080011""","Male",6.5
"Bethel School District","=""0090011""","Female",5.1
"Bethel School District","=""0090011""","Male",5.8
"Bloomfield School District","=""0110011""","Female",7.0
"Bloomfield School District","=""0110011""","Male",7.6
"Bolton School District","=""0120011""","Female",7.6
"Bolton School District","=""0120011""","Male",5.4
"Booker T. Washington Academy District","=""2950013""","Female",14.8
"Booker T. Washington Academy District","=""2950013""","Male",10.1
"Bozrah School District","=""0130011""","Female","*"
"Bozrah School District","=""0130011""","Male","*"
"Branford School District","=""0140011""","Female",9.8
"Branford School District","=""0140011""","Male",9.1
"Brass City Charter School District","=""2900013""","Female","*"
"Brass City Charter School District","=""2900013""","Male","*"
"Bridgeport Achievement First District","=""2850013""","Female",7.5
"Bridgeport Achievement First District","=""2850013""","Male",4.7
"Bridgeport School District","=""0150011""","Female",18.9
"Bridgeport School District","=""0150011""","Male",19.8
"Bristol School District","=""0170011""","Female",7.9
"Bristol School District","=""0170011""","Male",8.8
"Brookfield School District","=""0180011""","Female",4.7
"Brookfield School District","=""0180011""","Male",4.6
"Brooklyn School District","=""0190011""","Female",6.3
"Brooklyn School District","=""0190011""","Male",5.9
"Canaan School District","=""0210011""","Female","*"
"Canaan School District","=""0210011""","Male","*"
"Canterbury School District","=""0220011""","Female",4.7
"Canterbury School District","=""0220011""","Male",5.8
"Canton School District","=""0230011""","Female",5.7
"Canton School District","=""0230011""","Male",6.6
"Capital Preparatory Harbor School Inc. District","=""2970013""","Female",4.7
"Capital Preparatory Harbor School Inc. District","=""2970013""","Male",7.9
"Capitol Region Education Council","=""2410014""","Female",17.0
"Capitol Region Education Council","=""2410014""","Male",15.3
"Chaplin School District","=""0240011""","Female","*"
"Chaplin School District","=""0240011""","Male","*"
"Cheshire School District","=""0250011""","Female",4.2
"Cheshire School District","=""0250011""","Male",5.8
"Chester School District","=""0260011""","Female",0.0
"Chester School District","=""0260011""","Male","*"
"Clinton School District","=""0270011""","Female",7.0
"Clinton School District","=""0270011""","Male",7.1
"Colchester School District","=""0280011""","Female",7.6
"Colchester School District","=""0280011""","Male",7.1
"Colebrook School District","=""0290011""","Female",0.0
"Colebrook School District","=""0290011""","Male","*"
"Columbia School District","=""0300011""","Female",4.1
"Columbia School District","=""0300011""","Male",2.9
"Common Ground High School District","=""2680013""","Female",22.4
"Common Ground High School District","=""2680013""","Male",10.8
"Connecticut Technical Education and Career System","=""9000016""","Female",17.4
"Connecticut Technical Education and Career System","=""9000016""","Male",9.9
"Cooperative Educational Services","=""2430014""","Female",15.4
"Cooperative Educational Services","=""2430014""","Male",24.5
"Cornwall School District","=""0310011""","Female","*"
"Cornwall School District","=""0310011""","Male","*"
"Coventry School District","=""0320011""","Female",10.4
"Coventry School District","=""0320011""","Male",10.7
"Cromwell School District","=""0330011""","Female",5.1
"Cromwell School District","=""0330011""","Male",3.8
"Danbury School District","=""0340011""","Female",7.0
"Danbury School District","=""0340011""","Male",7.5
"Darien School District","=""0350011""","Female",3.0
"Darien School District","=""0350011""","Male",4.5
"Deep River School District","=""0360011""","Female","*"
"Deep River School District","=""0360011""","Male","*"
"Department of Mental Health and Addiction Services","=""3370015""","Female","*"
"Department of Mental Health and Addiction Services","=""3370015""","Male","*"
"Derby School District","=""0370011""","Female",10.4
"Derby School District","=""0370011""","Male",12.4
"East Granby School District","=""0400011""","Female",4.4
"East Granby School District","=""0400011""","Male",5.7
