"District","FIPS","Year","Gender","Variable","Measure Type","Value"
"Achievement First Bridgeport Academy District","","2011-2012","Female","Chronically Absent Students","Percent","-9999"
"Achievement First Bridgeport Academy District","","2011-2012","Male","Chronically Absent Students","Percent","2.2"
"Achievement First Bridgeport Academy District","","2012-2013","Female","Chronically Absent Students","Percent","3.0"
"Achievement First Bridgeport Academy District","","2012-2013","Male","Chronically Absent Students","Percent","2.1"
"Achievement First Bridgeport Academy District","","2013-2014","Female","Chronically Absent Students","Percent","2.7"
"Achievement First Bridgeport Academy District","","2013-2014","Male","Chronically Absent Students","Percent","3.0"
"Achievement First Bridgeport Academy District","","2014-2015","Female","Chronically Absent Students","Percent","4.0"
"Achievement First Bridgeport Academy District","","2014-2015","Male","Chronically Absent Students","Percent","2.3"
"Achievement First Bridgeport Academy District","","2015-2016","Female","Chronically Absent Students","Percent","4.9"
"Achievement First Bridgeport Academy District","","2015-2016","Male","Chronically Absent Students","Percent","4.4"
"Achievement First Hartford Academy District","","2011-2012","Female","Chronically Absent Students","Percent","5.3"
"Achievement First Hartford Academy District","","2011-2012","Male","Chronically Absent Students","Percent","10.4"
"Achievement First Hartford Academy District","","2012-2013","Female","Chronically Absent Students","Percent","1.9"
"Achievement First Hartford Academy District","","2012-2013","Male","Chronically Absent Students","Percent","4.7"
"Achievement First Hartford Academy District","","2013-2014","Female","Chronically Absent Students","Percent","4.6"
"Achievement First Hartford Academy District","","2013-2014","Male","Chronically Absent Students","Percent","7.5"
"Achievement First Hartford Academy District","","2014-2015","Female","Chronically Absent Students","Percent","10.1"
"Achievement First Hartford Academy District","","2014-2015","Male","Chronically Absent Students","Percent","11.1"
"Achievement First Hartford Academy District","","2015-2016","Female","Chronically Absent Students","Percent","10.7"
"Achievement First Hartford Academy District","","2015-2016","Male","Chronically Absent Students","Percent","9.4"
"Amistad Academy District","","2011-2012","Female","Chronically Absent Students","Percent","1.9"
"Amistad Academy District","","2011-2012","Male","Chronically Absent Students","Percent","3.3"
"Amistad Academy District","","2012-2013","Female","Chronically Absent Students","Percent","1.8"
"Amistad Academy District","","2012-2013","Male","Chronically Absent Students","Percent","3.3"
"Amistad Academy District","","2013-2014","Female","Chronically Absent Students","Percent","2.9"
"Amistad Academy District","","2013-2014","Male","Chronically Absent Students","Percent","4.2"
"Amistad Academy District","","2014-2015","Female","Chronically Absent Students","Percent","6.4"
"Amistad Academy District","","2014-2015","Male","Chronically Absent Students","Percent","4.3"
"Amistad Academy District","","2015-2016","Female","Chronically Absent Students","Percent","5.0"
"Amistad Academy District","","2015-2016","Male","Chronically Absent Students","Percent","5.7"
"Andover School District","","2011-2012","Female","Chronically Absent Students","Percent","-9999"
"Andover School District","","2011-2012","Male","Chronically Absent Students","Percent","0.0"
"Andover School District","","2012-2013","Female","Chronically Absent Students","Percent","-9999"
"Andover School District","","2012-2013","Male","Chronically Absent Students","Percent","3.8"
"Andover School District","","2013-2014","Female","Chronically Absent Students","Percent","0.0"
"Andover School District","","2013-2014","Male","Chronically Absent Students","Percent","-9999"
"Andover School District","","2014-2015","Female","Chronically Absent Students","Percent","-9999"
"Andover School District","","2014-2015","Male","Chronically Absent Students","Percent","-9999"
"Andover School District","","2015-2016","Female","Chronically Absent Students","Percent","-9999"
"Andover School District","","2015-2016","Male","Chronically Absent Students","Percent","-9999"
